,Data,Tipo,Valore
138,2020/03/24,retail_and_recreation,-84.0
139,2020/03/24,grocery_and_pharmacy,-48.0
140,2020/03/24,parks,-78.0
141,2020/03/24,transit_stations,-85.0
142,2020/03/24,workplaces,-74.0
143,2020/03/24,residential,36.0
144,2020/03/25,retail_and_recreation,-86.0
145,2020/03/25,grocery_and_pharmacy,-50.0
146,2020/03/25,parks,-82.0
147,2020/03/25,transit_stations,-86.0
148,2020/03/25,workplaces,-75.0
149,2020/03/25,residential,37.0
150,2020/03/26,retail_and_recreation,-86.0
151,2020/03/26,grocery_and_pharmacy,-51.0
152,2020/03/26,parks,-83.0
153,2020/03/26,transit_stations,-86.0
154,2020/03/26,workplaces,-77.0
155,2020/03/26,residential,39.0
156,2020/03/27,retail_and_recreation,-86.0
157,2020/03/27,grocery_and_pharmacy,-47.0
158,2020/03/27,parks,-82.0
159,2020/03/27,transit_stations,-86.0
160,2020/03/27,workplaces,-77.0
161,2020/03/27,residential,40.0
162,2020/03/28,retail_and_recreation,-89.0
163,2020/03/28,grocery_and_pharmacy,-59.0
164,2020/03/28,parks,-85.0
165,2020/03/28,transit_stations,-85.0
166,2020/03/28,workplaces,-70.0
167,2020/03/28,residential,28.0
168,2020/03/29,retail_and_recreation,-95.0
169,2020/03/29,grocery_and_pharmacy,-81.0
170,2020/03/29,parks,-91.0
171,2020/03/29,transit_stations,-89.0
172,2020/03/29,workplaces,-65.0
173,2020/03/29,residential,24.0
174,2020/03/30,retail_and_recreation,-85.0
175,2020/03/30,grocery_and_pharmacy,-48.0
176,2020/03/30,parks,-82.0
177,2020/03/30,transit_stations,-85.0
178,2020/03/30,workplaces,-75.0
179,2020/03/30,residential,36.0
180,2020/03/31,retail_and_recreation,-92.0
181,2020/03/31,grocery_and_pharmacy,-42.0
182,2020/03/31,parks,-78.0
183,2020/03/31,transit_stations,-84.0
184,2020/03/31,workplaces,-76.0
185,2020/03/31,residential,37.0
186,2020/04/01,retail_and_recreation,-92.0
187,2020/04/01,grocery_and_pharmacy,-40.0
188,2020/04/01,parks,-78.0
189,2020/04/01,transit_stations,-84.0
190,2020/04/01,workplaces,-75.0
191,2020/04/01,residential,37.0
192,2020/04/02,retail_and_recreation,-92.0
193,2020/04/02,grocery_and_pharmacy,-40.0
194,2020/04/02,parks,-78.0
195,2020/04/02,transit_stations,-84.0
196,2020/04/02,workplaces,-75.0
197,2020/04/02,residential,38.0
198,2020/04/03,retail_and_recreation,-88.0
199,2020/04/03,grocery_and_pharmacy,-39.0
200,2020/04/03,parks,-78.0
201,2020/04/03,transit_stations,-84.0
202,2020/04/03,workplaces,-74.0
203,2020/04/03,residential,39.0
204,2020/04/04,retail_and_recreation,-91.0
205,2020/04/04,grocery_and_pharmacy,-53.0
206,2020/04/04,parks,-84.0
207,2020/04/04,transit_stations,-84.0
208,2020/04/04,workplaces,-68.0
209,2020/04/04,residential,28.0
210,2020/04/05,retail_and_recreation,-96.0
211,2020/04/05,grocery_and_pharmacy,-77.0
212,2020/04/05,parks,-90.0
213,2020/04/05,transit_stations,-88.0
214,2020/04/05,workplaces,-64.0
215,2020/04/05,residential,24.0
216,2020/04/06,retail_and_recreation,-86.0
217,2020/04/06,grocery_and_pharmacy,-39.0
218,2020/04/06,parks,-77.0
219,2020/04/06,transit_stations,-83.0
220,2020/04/06,workplaces,-71.0
221,2020/04/06,residential,34.0
222,2020/04/07,retail_and_recreation,-85.0
223,2020/04/07,grocery_and_pharmacy,-39.0
224,2020/04/07,parks,-75.0
225,2020/04/07,transit_stations,-83.0
226,2020/04/07,workplaces,-72.0
227,2020/04/07,residential,35.0
228,2020/04/08,retail_and_recreation,-85.0
229,2020/04/08,grocery_and_pharmacy,-37.0
230,2020/04/08,parks,-77.0
231,2020/04/08,transit_stations,-83.0
232,2020/04/08,workplaces,-71.0
233,2020/04/08,residential,35.0
234,2020/04/09,retail_and_recreation,-84.0
235,2020/04/09,grocery_and_pharmacy,-33.0
236,2020/04/09,parks,-77.0
237,2020/04/09,transit_stations,-83.0
238,2020/04/09,workplaces,-71.0
239,2020/04/09,residential,35.0
240,2020/04/10,retail_and_recreation,-84.0
241,2020/04/10,grocery_and_pharmacy,-29.0
242,2020/04/10,parks,-77.0
243,2020/04/10,transit_stations,-82.0
244,2020/04/10,workplaces,-73.0
245,2020/04/10,residential,38.0
246,2020/04/11,retail_and_recreation,-89.0
247,2020/04/11,grocery_and_pharmacy,-47.0
